batch_code,item_name
00331533,espresso
00343381,"Potato mashed, extra"
00343965,N Hot Beverage speciality
00344644,Burger vegetarian
00346285,Cake almond caramel
00355152,Sandwich eggs
00356458,Cookie chocolate
00380359,Coffee flavour
00388119,Buffet 1 co-worker
00486186,plant balls mash peas/crm sauce lingnberry jam 8pc
00569073,black coffee Rainforest Alliance Certified
10331330,"Wrap, marinated salmon"
10339053,Apple drink
10343922,Bacon slice
10584704,cold drink drink tower
10585586,strawberry fruit soft ice sugar cone CA
10593567,chicken wrap salad CA
10595284,Wrap salad CA
20331141,Muffin breakfast
20331259,Cake carrot
20331527,Coffee americano
20343380,Egg
20345888,Pastry cinnamon/piece
20348636,Meatballs mash peas/cream sauce lingnberry jam 5pc
20359719,Frozen yogurt Topping
20464249,strawberry fruit soft ice
20575186,Tea
20576336,chocolate fudge cake
30331249,"Salad, small"
30339090,"Tea, large"
30344831,Egg scrambled
30348631,Meatballs mash peas/cream sauce lingnberry jam 8pc
30569057,vegetable hot dog
30583435,chocolate cake strawberries CA
30595136,plant balls cauliflower bean mix CA
40348659,"Veggie balls, children's"
40604300,rainbow cake with layer CA
40606988,Veggie balls mashed potato curry sau/half porti CA
40629857,Breakfast pancake scrambled eggs/sausage CA
50339089,Coffee americano/large
50585589,soft ice cream with vanilla flavour waffle cone CA
50587569,plant-based pieces lingonberry BBQ sauce
60331667,Milk glass
60350104,veg balls 4 piece
60486188,plant balls 4 piece
60593560,Salmon fillet mash bean mix lemon-dill sauce NA
60629856,Breakfast pancake scrambled eggs/bacon CA
60636060,cinnamon bun maple syrup CA
70331501,Ice cream soft small
70331515,Frozen yogurt
70344674,Pancake plain
70592999,Danish pastry fruit CA
70610521,Hot Beverage coffee milk/large CA
80331572,hot dog
80344659,"Sausage, small"
80344664,Coffee decafinated
80350103,Meatballs 4 piece
80470049,Soft ice vegan strawberry/small
80486187,plant balls mash peas/crm sauce lingnbrry jam 5pc
80578790,cheesecake CA
80593069,Vegetable balls snack chickpeas salad/naan CA
90331213,Bread garlic
90335857,Soup
90353846,Pancake apple
90569605,Salmon fillet cauliflower risotto/bean mix
90585097,hot drink
90585587,strawberry fruit soft ice waffle cone CA
